0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
º«¼Ò»´,ÑîµÀÎ°,3219,,,M,C57BL/6J,,,,ZBP1,(+/-),,,,,,,,,B,207,7,7,7,,
º«¼Ò»´,ÑîµÀÎ°,3220,,,F,C57BL/6J,,,,ZBP1,(+/-),,,,,,,,,B,207,7,7,7,,
º«¼Ò»´,ÑîµÀÎ°,3232,,,F,C57BL/6J,,,,ZBP1,(+/-),,,,,,,,,B,207,7,7,7,,



º«¼Ò»´,³Â³¤°²,0,20180401,20180602,F,C57BL/6J,,,,PRAK T182A ,(+/+),,,,,,,,,B,207,1,2,1,,
º«¼Ò»´,³Â³¤°²,0,20180401,20180602,F,C57BL/6J,,,,PRAK T182A ,(+/+),,,,,,,,,B,207,1,2,1,,
º«¼Ò»´,³Â³¤°²,0,20180401,20180602,F,C57BL/6J,,,,PRAK T182A ,(+/+),,,,,,,,,B,207,1,2,2,,
º«¼Ò»´,³Â³¤°²,0,20180401,20180602,F,C57BL/6J,,,,PRAK T182A ,(+/+),,,,,,,,,B,207,1,2,2,,
º«¼Ò»´,³Â³¤°²,0,20180401,20180602,F,C57BL/6J,,,,PRAK T182A ,(+/+),,,,,,,,,B,207,1,2,3,,
º«¼Ò»´,³Â³¤°²,0,20180401,20180602,F,C57BL/6J,,,,Tip60 T158A,(+/+),,,,,,,,,B,207,1,2,4,,
º«¼Ò»´,³Â³¤°²,0,20180401,20180602,F,C57BL/6J,,,,Tip60 T158A,(+/+),,,,,,,,,B,207,1,2,5,,
º«¼Ò»´,³Â³¤°²,0,20180401,20180602,F,C57BL/6J,,,,Tip60 T158A,(+/+),,,,,,,,,B,207,1,2,6,,


º«¼Ò»´,³Â³¤°²,8621,20180515,20180619,M,C57BL/6J,,,,PRAK,(-/-),,,,,,,,,C,107,1,2,9,,
º«¼Ò»´,³Â³¤°²,8622,20180515,20180619,M,C57BL/6J,,,,PRAK,(+/-),,,,,,,,,C,107,1,2,9,,
º«¼Ò»´,³Â³¤°²,8623,20180515,20180619,M,C57BL/6J,,,,PRAK,(+/-),,,,,,,,,C,107,1,2,9,,
º«¼Ò»´,³Â³¤°²,8624,20180515,20180619,M,C57BL/6J,,,,PRAK,(+/+),,,,,,,,,C,107,1,2,9,,
º«¼Ò»´,³Â³¤°²,8626,20180515,20180619,F,C57BL/6J,,,,PRAK,(+/-),,,,,,,,,C,107,1,2,9,,
º«¼Ò»´,ÕÔÒ»ºÀ,2209,,,F,C57BL/6J,,,,RIP3,(+/-),,,,,,,,,C,107,1,2,9,,
º«¼Ò»´,ÕÔÒ»ºÀ,2221,,,F,C57BL/6J,,,,RIP3,(+/-),,,,,,,,,C,107,1,2,9,,
º«¼Ò»´,ÕÔÒ»ºÀ,2249,,,F,C57BL/6J,,,,RIP3,(+/-),,,,,,,,,C,107,1,2,9,,
º«¼Ò»´,ÕÔÒ»ºÀ,2262,,,F,C57BL/6J,,,,RIP3,(+/-),,,,,,,,,C,107,1,2,9,,
º«¼Ò»´,ÕÔÒ»ºÀ,2264,,,F,C57BL/6J,,,,RIP3,(+/-),,,,,,,,,C,107,1,2,9,,


º«¼Ò»´,Áº²¨,,20170904,,M,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,1,,
º«¼Ò»´,Áº²¨,,20170904,,F,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,1,,
º«¼Ò»´,Áº²¨,,20170904,,F,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,1,,
º«¼Ò»´,ÕÅÅàÅà,2427,20180510,20180610,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,1,,
º«¼Ò»´,ÕÅÅàÅà,2428,20180510,20180610,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,1,,
º«¼Ò»´,ÕÅÅàÅà,2429,20180510,20180610,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,1,,


º«¼Ò»´,Áº²¨,,20170904,,M,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,2,,
º«¼Ò»´,Áº²¨,,20170904,,F,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,2,,
º«¼Ò»´,Áº²¨,,20170904,,F,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,2,,
º«¼Ò»´,ÕÅÅàÅà,2430,20180510,20180610,F,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,2,,



º«¼Ò»´,Áº²¨,,20170904,,M,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,3,,
º«¼Ò»´,Áº²¨,,20170904,,F,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,3,,
º«¼Ò»´,Áº²¨,,20170904,,F,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,3,,
º«¼Ò»´,ÕÅÅàÅà,8048,20180330,20180430,F,C57BL/6J,,,,GSDMD,,,,,,,,,,B,207,2,3,3,,
º«¼Ò»´,ÕÅÅàÅà,8062,20180330,20180430,F,C57BL/6J,,,,GSDMD,(+/+),,,,,,,,,B,207,2,3,3,,
º«¼Ò»´,ÕÅÅàÅà,8063,20180330,20180430,F,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,3,,
º«¼Ò»´,ÕÅÅàÅà,8064,20180330,20180430,F,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,3,,
º«¼Ò»´,ÕÅÅàÅà,8078,20180330,20180430,F,C57BL/6J,,,,GSDMD,(-/-),,,,,,,,,B,207,2,3,3,,
º«¼Ò»´,ÕÅÅàÅà,8079,20180330,20180430,F,C57BL/6J,,,,GSDMD,,,,,,,,,,B,207,2,3,3,,

º«¼Ò»´,Áº²¨,,20170904,,M,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,4,,
º«¼Ò»´,Áº²¨,,20170904,,F,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,4,,
º«¼Ò»´,Áº²¨,,20170904,,F,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,4,,
º«¼Ò»´,ÕÅÅàÅà,1183,20171125,20171225,F,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,4,,
º«¼Ò»´,ÕÅÅàÅà,1184,20171125,20171225,F,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,4,,
º«¼Ò»´,ÕÅÅàÅà,1185,20171125,20171225,F,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,4,,
º«¼Ò»´,ÕÅÅàÅà,1187,20171125,20171225,F,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,4,,


º«¼Ò»´,Áº²¨,,20170904,,M,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,5,,
º«¼Ò»´,Áº²¨,,20170904,,M,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,5,,
º«¼Ò»´,Áº²¨,,20170904,,F,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,5,,
º«¼Ò»´,ÕÅÅàÅà,1157,20171125,20171225,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,5,,
º«¼Ò»´,ÕÅÅàÅà,1168,20171125,20171225,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,5,,
º«¼Ò»´,ÕÅÅàÅà,5805,20171125,20171225,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,5,,
º«¼Ò»´,ÕÅÅàÅà,4806,20171125,20171225,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,5,,
º«¼Ò»´,ÕÅÅàÅà,4807,20171125,20171225,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,5,,
º«¼Ò»´,ÕÅÅàÅà,4808,20171125,20171225,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,5,,


º«¼Ò»´,Áº²¨,,20170904,,F,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,6,,
º«¼Ò»´,Áº²¨,,20170904,,M,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,6,,
º«¼Ò»´,Áº²¨,,20170904,,F,C57BL/6J,,,,,,,,,,,,,,B,207,2,3,6,,
º«¼Ò»´,ÕÅÅàÅà,6400,20180225,20180325,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,6,,
º«¼Ò»´,ÕÅÅàÅà,4201,20180225,20180325,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,6,,
º«¼Ò»´,ÕÅÅàÅà,4202,20180225,20180325,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,6,,
º«¼Ò»´,ÕÅÅàÅà,4203,20180225,20180325,M,C57BL/6J,,,,GSDMD,(+/-),,,,,,,,,B,207,2,3,6,,


º«¼Ò»´,Îâ½£·æ,,20180501,20180524,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,1,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180501,20180524,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,1,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180501,20180524,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,1,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180501,20180524,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,1,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180501,20180524,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,2,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180501,20180524,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,2,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180501,20180524,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,2,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180501,20180524,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,2,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180601,20180623,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,3,Mix,Mix
º«¼Ò»´,Îâ½£·æ,,20180601,20180623,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,3,Mix,Mix
º«¼Ò»´,Îâ½£·æ,,20180601,20180623,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,3,Mix,Mix
º«¼Ò»´,Îâ½£·æ,,20180101,20180123,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,4,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180123,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,4,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180123,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,4,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180123,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,4,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180123,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,4,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180310,20180410,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,5,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180310,20180410,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,5,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180310,20180410,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,5,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180310,20180410,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,6,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180310,20180410,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,6,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180310,20180410,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,3,6,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,1,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,1,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,1,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,2,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,2,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,2,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20170901,20181001,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,3,ÊÜ¾«ÂÑ¸´ËÕ,ÊÜ¾«ÂÑ¸´ËÕ
º«¼Ò»´,Îâ½£·æ,,20170901,20181001,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,3,ÊÜ¾«ÂÑ¸´ËÕ,ÊÜ¾«ÂÑ¸´ËÕ
º«¼Ò»´,Îâ½£·æ,,20170901,20181001,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,3,ÊÜ¾«ÂÑ¸´ËÕ,ÊÜ¾«ÂÑ¸´ËÕ
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,4,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,4,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,4,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,M,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,5,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,5,1-1,1-1
º«¼Ò»´,Îâ½£·æ,,20180101,20180128,F,Fas/Lpr,,,,,,,,,,,,,,B,201,0,2,5,1-1,1-1
